,date,url
144,2013/03/01,https://winthroptranscript.com/2013/03/01/police-blotter/
145,2013/03/07,https://winthroptranscript.com/2013/03/07/police-blotter/
146,2013/03/14,https://winthroptranscript.com/2013/03/14/police-blotter/
147,2013/03/22,https://winthroptranscript.com/2013/03/22/police-blotter/
148,2013/03/28,https://winthroptranscript.com/2013/03/28/police-blotter/
149,2013/04/04,https://winthroptranscript.com/2013/04/04/police-blotter/
150,2013/04/16,https://winthroptranscript.com/2013/04/16/police-blotter/
151,2013/04/18,https://winthroptranscript.com/2013/04/18/police-blotter/
152,2013/04/25,https://winthroptranscript.com/2013/04/25/police-blotter/
153,2013/05/02,https://winthroptranscript.com/2013/05/02/police-blotter/
154,2013/05/09,https://winthroptranscript.com/2013/05/09/police-blotter/
155,2013/05/16,https://winthroptranscript.com/2013/05/16/police-blotter/
156,2013/05/23,https://winthroptranscript.com/2013/05/23/police-blotter/
157,2013/05/30,https://winthroptranscript.com/2013/05/30/police-blotter/
158,2013/06/06,https://winthroptranscript.com/2013/06/06/police-blotter/
159,2013/06/14,https://winthroptranscript.com/2013/06/14/police-blotter/
160,2013/06/20,https://winthroptranscript.com/2013/06/20/police-blotter/
161,2013/06/28,https://winthroptranscript.com/2013/06/28/police-blotter/
162,2013/07/04,https://winthroptranscript.com/2013/07/04/police-blotter/
163,2013/07/11,https://winthroptranscript.com/2013/07/11/police-blotter/
164,2013/07/18,https://winthroptranscript.com/2013/07/18/police-blotter/
165,2013/07/26,https://winthroptranscript.com/2013/07/26/police-blotter/
166,2013/08/01,https://winthroptranscript.com/2013/08/01/police-blotter/
167,2013/08/08,https://winthroptranscript.com/2013/08/08/police-blotter/
168,2013/08/15,https://winthroptranscript.com/2013/08/15/police-blotter/
169,2013/08/22,https://winthroptranscript.com/2013/08/22/police-blotter/
170,2013/08/29,https://winthroptranscript.com/2013/08/29/police-blotter/
171,2013/09/05,https://winthroptranscript.com/2013/09/05/police-blotter/
172,2013/09/12,https://winthroptranscript.com/2013/09/12/police-blotter/
173,2013/09/19,https://winthroptranscript.com/2013/09/19/police-blotter/
174,2013/09/26,https://winthroptranscript.com/2013/09/26/police-blotter/
